,losses,betas,port,computing_time
0,269.92608642578125,4,892,603.0904969159747
1,134.44004821777344,4,892,603.0904969159747
2,63.546749114990234,4,892,603.0904969159747
3,31.049198150634766,4,892,603.0904969159747
4,16.823205947875977,4,892,603.0904969159747
5,10.320028305053711,4,892,603.0904969159747
6,7.083488464355469,4,892,603.0904969159747
7,5.319665908813477,4,892,603.0904969159747
8,4.276113510131836,4,892,603.0904969159747
9,3.614607810974121,4,892,603.0904969159747
10,3.171250104904175,4,892,603.0904969159747
11,2.8604159355163574,4,892,603.0904969159747
12,2.634361982345581,4,892,603.0904969159747
13,2.4646453857421875,4,892,603.0904969159747
14,2.3335766792297363,4,892,603.0904969159747
15,2.229576826095581,4,892,603.0904969159747
16,2.1448140144348145,4,892,603.0904969159747
17,2.0738227367401123,4,892,603.0904969159747
18,2.0127382278442383,4,892,603.0904969159747
19,1.9587397575378418,4,892,603.0904969159747
20,1.9098389148712158,4,892,603.0904969159747
21,1.8645539283752441,4,892,603.0904969159747
22,1.821933627128601,4,892,603.0904969159747
23,1.7813845872879028,4,892,603.0904969159747
24,1.7425851821899414,4,892,603.0904969159747
25,1.7056219577789307,4,892,603.0904969159747
26,1.6705929040908813,4,892,603.0904969159747
27,1.6377464532852173,4,892,603.0904969159747
28,1.6073907613754272,4,892,603.0904969159747
29,1.5796077251434326,4,892,603.0904969159747
30,1.5545817613601685,4,892,603.0904969159747
31,1.5322047472000122,4,892,603.0904969159747
32,1.5123531818389893,4,892,603.0904969159747
33,1.4948091506958008,4,892,603.0904969159747
34,1.4793426990509033,4,892,603.0904969159747
35,1.465580701828003,4,892,603.0904969159747
36,1.4533298015594482,4,892,603.0904969159747
37,1.442301869392395,4,892,603.0904969159747
38,1.4322646856307983,4,892,603.0904969159747
39,1.4230061769485474,4,892,603.0904969159747
40,1.4143463373184204,4,892,603.0904969159747
41,1.4061250686645508,4,892,603.0904969159747
42,1.3982619047164917,4,892,603.0904969159747
43,1.3906598091125488,4,892,603.0904969159747
44,1.3833457231521606,4,892,603.0904969159747
45,1.3762938976287842,4,892,603.0904969159747
46,1.3695552349090576,4,892,603.0904969159747
47,1.3631489276885986,4,892,603.0904969159747
48,1.3570646047592163,4,892,603.0904969159747
49,1.3513038158416748,4,892,603.0904969159747
50,1.345768690109253,4,892,603.0904969159747
51,1.34036386013031,4,892,603.0904969159747
52,1.3349913358688354,4,892,603.0904969159747
53,1.3295807838439941,4,892,603.0904969159747
54,1.3240478038787842,4,892,603.0904969159747
55,1.3184047937393188,4,892,603.0904969159747
56,1.3127449750900269,4,892,603.0904969159747
57,1.3072999715805054,4,892,603.0904969159747
58,1.302236557006836,4,892,603.0904969159747
59,1.2977467775344849,4,892,603.0904969159747
60,1.2939131259918213,4,892,603.0904969159747
61,1.2907400131225586,4,892,603.0904969159747
62,1.2881197929382324,4,892,603.0904969159747
63,1.2859710454940796,4,892,603.0904969159747
64,1.2841720581054688,4,892,603.0904969159747
65,1.2826539278030396,4,892,603.0904969159747
66,1.281341791152954,4,892,603.0904969159747
67,1.2801799774169922,4,892,603.0904969159747
68,1.2791348695755005,4,892,603.0904969159747
69,1.278212308883667,4,892,603.0904969159747
70,1.2773503065109253,4,892,603.0904969159747
71,1.2765493392944336,4,892,603.0904969159747
72,1.2757856845855713,4,892,603.0904969159747
73,1.275101900100708,4,892,603.0904969159747
74,1.274424433708191,4,892,603.0904969159747
75,1.273787021636963,4,892,603.0904969159747
76,1.2731719017028809,4,892,603.0904969159747
77,1.2725666761398315,4,892,603.0904969159747
78,1.2719910144805908,4,892,603.0904969159747
79,1.2714335918426514,4,892,603.0904969159747
80,1.2708945274353027,4,892,603.0904969159747
81,1.27036714553833,4,892,603.0904969159747
82,1.2698489427566528,4,892,603.0904969159747
83,1.2693368196487427,4,892,603.0904969159747
84,1.268837332725525,4,892,603.0904969159747
85,1.2683382034301758,4,892,603.0904969159747
86,1.2678468227386475,4,892,603.0904969159747
87,1.2673786878585815,4,892,603.0904969159747
88,1.2668988704681396,4,892,603.0904969159747
89,1.2664361000061035,4,892,603.0904969159747
90,1.2659714221954346,4,892,603.0904969159747
91,1.2655231952667236,4,892,603.0904969159747
92,1.2650682926177979,4,892,603.0904969159747
93,1.2646209001541138,4,892,603.0904969159747
94,1.2641630172729492,4,892,603.0904969159747
95,1.263731837272644,4,892,603.0904969159747
96,1.2632842063903809,4,892,603.0904969159747
97,1.262848973274231,4,892,603.0904969159747
98,1.262412667274475,4,892,603.0904969159747
99,1.2619787454605103,4,892,603.0904969159747
100,1.2615433931350708,4,892,603.0904969159747
101,1.2611123323440552,4,892,603.0904969159747
102,1.2606886625289917,4,892,603.0904969159747
103,1.2602626085281372,4,892,603.0904969159747
104,1.2598406076431274,4,892,603.0904969159747
105,1.259422779083252,4,892,603.0904969159747
106,1.258986473083496,4,892,603.0904969159747
107,1.2585711479187012,4,892,603.0904969159747
108,1.2581596374511719,4,892,603.0904969159747
109,1.2577524185180664,4,892,603.0904969159747
110,1.2573257684707642,4,892,603.0904969159747
111,1.2568986415863037,4,892,603.0904969159747
112,1.256493330001831,4,892,603.0904969159747
113,1.2560796737670898,4,892,603.0904969159747
114,1.2556676864624023,4,892,603.0904969159747
115,1.255262851715088,4,892,603.0904969159747
116,1.2548441886901855,4,892,603.0904969159747
117,1.2544487714767456,4,892,603.0904969159747
118,1.254033088684082,4,892,603.0904969159747
119,1.2536371946334839,4,892,603.0904969159747
120,1.2532318830490112,4,892,603.0904969159747
121,1.2528380155563354,4,892,603.0904969159747
122,1.2524343729019165,4,892,603.0904969159747
123,1.25202476978302,4,892,603.0904969159747
124,1.2516367435455322,4,892,603.0904969159747
125,1.2512319087982178,4,892,603.0904969159747
126,1.2508456707000732,4,892,603.0904969159747
127,1.2504453659057617,4,892,603.0904969159747
128,1.2500568628311157,4,892,603.0904969159747
129,1.2496612071990967,4,892,603.0904969159747
130,1.2492995262145996,4,892,603.0904969159747
131,1.2489105463027954,4,892,603.0904969159747
132,1.2485284805297852,4,892,603.0904969159747
133,1.2481569051742554,4,892,603.0904969159747
134,1.2477675676345825,4,892,603.0904969159747
135,1.247407078742981,4,892,603.0904969159747
136,1.2470288276672363,4,892,603.0904969159747
137,1.2466566562652588,4,892,603.0904969159747
138,1.2462931871414185,4,892,603.0904969159747
139,1.245911955833435,4,892,603.0904969159747
140,1.2455613613128662,4,892,603.0904969159747
141,1.2451903820037842,4,892,603.0904969159747
142,1.2448394298553467,4,892,603.0904969159747
143,1.2444829940795898,4,892,603.0904969159747
144,1.2441322803497314,4,892,603.0904969159747
145,1.243776559829712,4,892,603.0904969159747
146,1.2434371709823608,4,892,603.0904969159747
147,1.2430766820907593,4,892,603.0904969159747
148,1.2427384853363037,4,892,603.0904969159747
149,1.2423938512802124,4,892,603.0904969159747
150,1.2420539855957031,4,892,603.0904969159747
151,1.2417116165161133,4,892,603.0904969159747
152,1.241370677947998,4,892,603.0904969159747
153,1.2410342693328857,4,892,603.0904969159747
154,1.2406911849975586,4,892,603.0904969159747
155,1.2403584718704224,4,892,603.0904969159747
156,1.240025520324707,4,892,603.0904969159747
157,1.239696979522705,4,892,603.0904969159747
158,1.239371418952942,4,892,603.0904969159747
159,1.2390373945236206,4,892,603.0904969159747
160,1.2387123107910156,4,892,603.0904969159747
161,1.2383840084075928,4,892,603.0904969159747
162,1.2380621433258057,4,892,603.0904969159747
163,1.2377381324768066,4,892,603.0904969159747
164,1.237419843673706,4,892,603.0904969159747
165,1.2371037006378174,4,892,603.0904969159747
166,1.236780047416687,4,892,603.0904969159747
167,1.2364673614501953,4,892,603.0904969159747
168,1.2361500263214111,4,892,603.0904969159747
169,1.2358336448669434,4,892,603.0904969159747
170,1.235532283782959,4,892,603.0904969159747
171,1.2352195978164673,4,892,603.0904969159747
172,1.234907627105713,4,892,603.0904969159747
173,1.2345854043960571,4,892,603.0904969159747
174,1.234292984008789,4,892,603.0904969159747
175,1.2339754104614258,4,892,603.0904969159747
176,1.2336697578430176,4,892,603.0904969159747
177,1.23336923122406,4,892,603.0904969159747
178,1.2330503463745117,4,892,603.0904969159747
179,1.232757806777954,4,892,603.0904969159747
180,1.2324508428573608,4,892,603.0904969159747
181,1.232155442237854,4,892,603.0904969159747
182,1.2318588495254517,4,892,603.0904969159747
183,1.2315500974655151,4,892,603.0904969159747
184,1.2312506437301636,4,892,603.0904969159747
185,1.2309627532958984,4,892,603.0904969159747
186,1.2306655645370483,4,892,603.0904969159747
187,1.230369210243225,4,892,603.0904969159747
188,1.2300792932510376,4,892,603.0904969159747
189,1.2297860383987427,4,892,603.0904969159747
190,1.229493498802185,4,892,603.0904969159747
191,1.229193925857544,4,892,603.0904969159747
192,1.228901982307434,4,892,603.0904969159747
193,1.2286169528961182,4,892,603.0904969159747
194,1.228328824043274,4,892,603.0904969159747
195,1.228035569190979,4,892,603.0904969159747
196,1.227748155593872,4,892,603.0904969159747
197,1.227465271949768,4,892,603.0904969159747
198,1.2271912097930908,4,892,603.0904969159747
199,1.2268937826156616,4,892,603.0904969159747
200,1.22661554813385,4,892,603.0904969159747
201,1.226343035697937,4,892,603.0904969159747
202,1.2260520458221436,4,892,603.0904969159747
203,1.2257720232009888,4,892,603.0904969159747
204,1.2254990339279175,4,892,603.0904969159747
205,1.2252099514007568,4,892,603.0904969159747
206,1.2249349355697632,4,892,603.0904969159747
207,1.2246477603912354,4,892,603.0904969159747
208,1.224371075630188,4,892,603.0904969159747
209,1.2241133451461792,4,892,603.0904969159747
210,1.2238339185714722,4,892,603.0904969159747
211,1.2235485315322876,4,892,603.0904969159747
212,1.223278522491455,4,892,603.0904969159747
213,1.2230204343795776,4,892,603.0904969159747
214,1.222741961479187,4,892,603.0904969159747
215,1.2224782705307007,4,892,603.0904969159747
216,1.22221040725708,4,892,603.0904969159747
217,1.2219347953796387,4,892,603.0904969159747
218,1.2216780185699463,4,892,603.0904969159747
219,1.221411108970642,4,892,603.0904969159747
220,1.221150279045105,4,892,603.0904969159747
221,1.2208832502365112,4,892,603.0904969159747
222,1.2206194400787354,4,892,603.0904969159747
223,1.2203571796417236,4,892,603.0904969159747
224,1.2201062440872192,4,892,603.0904969159747
225,1.2198377847671509,4,892,603.0904969159747
226,1.2195876836776733,4,892,603.0904969159747
227,1.2193275690078735,4,892,603.0904969159747
228,1.2190719842910767,4,892,603.0904969159747
229,1.2188153266906738,4,892,603.0904969159747
230,1.2185600996017456,4,892,603.0904969159747
231,1.2183043956756592,4,892,603.0904969159747
232,1.218050241470337,4,892,603.0904969159747
233,1.217807412147522,4,892,603.0904969159747
234,1.217560887336731,4,892,603.0904969159747
235,1.2173089981079102,4,892,603.0904969159747
236,1.21706223487854,4,892,603.0904969159747
237,1.2168161869049072,4,892,603.0904969159747
238,1.2165725231170654,4,892,603.0904969159747
239,1.2163244485855103,4,892,603.0904969159747
240,1.2160743474960327,4,892,603.0904969159747
241,1.2158259153366089,4,892,603.0904969159747
242,1.2155917882919312,4,892,603.0904969159747
243,1.2153602838516235,4,892,603.0904969159747
244,1.2151100635528564,4,892,603.0904969159747
245,1.2148762941360474,4,892,603.0904969159747
246,1.2146353721618652,4,892,603.0904969159747
247,1.2144008874893188,4,892,603.0904969159747
248,1.2141636610031128,4,892,603.0904969159747
249,1.2139261960983276,4,892,603.0904969159747
250,1.2136999368667603,4,892,603.0904969159747
251,1.213464379310608,4,892,603.0904969159747
252,1.2132405042648315,4,892,603.0904969159747
253,1.212998628616333,4,892,603.0904969159747
254,1.2127721309661865,4,892,603.0904969159747
255,1.2125458717346191,4,892,603.0904969159747
256,1.212323784828186,4,892,603.0904969159747
257,1.2120903730392456,4,892,603.0904969159747
258,1.2118617296218872,4,892,603.0904969159747
259,1.2116390466690063,4,892,603.0904969159747
260,1.2114205360412598,4,892,603.0904969159747
261,1.2111921310424805,4,892,603.0904969159747
262,1.2109664678573608,4,892,603.0904969159747
263,1.2107540369033813,4,892,603.0904969159747
264,1.2105259895324707,4,892,603.0904969159747
265,1.210310697555542,4,892,603.0904969159747
266,1.2100943326950073,4,892,603.0904969159747
267,1.2098733186721802,4,892,603.0904969159747
268,1.2096530199050903,4,892,603.0904969159747
269,1.20944344997406,4,892,603.0904969159747
270,1.209229588508606,4,892,603.0904969159747
271,1.2090197801589966,4,892,603.0904969159747
272,1.208802580833435,4,892,603.0904969159747
273,1.2085872888565063,4,892,603.0904969159747
274,1.2083760499954224,4,892,603.0904969159747
275,1.2081611156463623,4,892,603.0904969159747
276,1.207947850227356,4,892,603.0904969159747
277,1.207744836807251,4,892,603.0904969159747
278,1.20753812789917,4,892,603.0904969159747
279,1.2073363065719604,4,892,603.0904969159747
280,1.2071309089660645,4,892,603.0904969159747
281,1.206918478012085,4,892,603.0904969159747
